2015/02/18;19 %; 
2015/02/19;100 %; 
2015/02/20;11 %; 
2015/02/21;59 %; 
2015/02/22;87 %; 
2015/02/23;0 %; 
2015/02/24;84 %; 
2015/02/25;50 %; 
2015/02/26;9 %; 
2015/02/27;99 %; 
2015/02/28;21 %; 
2015/03/01;17 %; 
2015/03/02;34 %; 
2015/03/03;96 %; 
2015/03/04;1 %; 
2015/03/05;77 %; 
2015/03/06;74 %; 
2015/03/07;2 %; 
2015/03/08;98 %; 
2015/03/09;31 %; 
2015/03/10;19 %; 
2015/03/11;100 %; 
2015/03/12;5 %; 
2015/03/13;60 %; 
2015/03/14;87 %; 
2015/03/15;0 %; 
2015/03/16;91 %; 
2015/03/17;49 %; 
2015/03/18;9 %; 
2015/03/19;99 %; 
2015/03/20;14 %; 
2015/03/21;42 %; 
2015/03/22;95 %; 
2015/03/23;4 %; 
2015/03/24;81 %; 
2015/03/25;67 %; 
2015/03/26;2 %; 
2015/03/27;93 %; 
2015/03/28;26 %; 
2015/03/29;25 %; 
2015/03/30;100 %; 
2015/03/31;12 %; 
2015/04/01;9 %; 
2015/04/02;47 %; 
2015/04/03;85 %; 
2015/04/04;1 %; 
2015/04/05;85 %; 
2015/04/06;61 %; 
2015/04/07;10 %; 
2015/04/08;100 %; 
2015/04/09;22 %; 
2015/04/10;32 %; 
2015/04/11;94 %; 
2015/04/12;1 %; 
2015/04/13;71 %; 
2015/04/14;75 %; 
2015/04/15;3 %; 
2015/04/16;98 %; 
2015/04/17;38 %; 
2015/04/18;19 %; 
2015/04/19;99 %; 
2015/04/20;6 %; 
2015/04/21;53 %; 
2015/04/22;86 %; 
2015/04/23;0 %; 
2015/04/24;90 %; 
2015/04/25;56 %; 
2015/04/26;9 %; 
2015/04/27;99 %; 
2015/04/28;16 %; 
2015/04/29;36 %; 
2015/04/30;95 %; 
2015/05/01;8 %; 
2015/05/02;52 %; 
2015/05/03;80 %; 
2015/05/04;1 %; 
2015/05/05;86 %; 
2015/05/06;56 %; 
2015/05/07;15 %; 
2015/05/08;100 %; 
2015/05/09;20 %; 
2015/05/10;38 %; 
2015/05/11;91 %; 
2015/05/12;0 %; 
2015/05/13;72 %; 
2015/05/14;69 %; 
2015/05/15;5 %; 
2015/05/16;98 %; 
2015/05/17;37 %; 
2015/05/18;25 %; 
2015/05/19;98 %; 
2015/05/20;5 %; 
2015/05/21;55 %; 
2015/05/22;81 %; 
2015/05/23;0 %; 
2015/05/24;91 %; 
2015/05/25;53 %; 
2015/05/26;14 %; 
2015/05/27;100 %; 
2015/05/28;15 %; 
2015/05/29;39 %; 
2015/05/30;91 %; 
2015/05/31;1 %; 
2015/06/01;3 %; 
2015/06/02;69 %; 
